label,L_qw,L_qx,L_qy,L_qz,L_f1,L_f2,L_f3,L_f4,L_f5,R_qw,R_qx,R_qy,R_qz,R_f1,R_f2,R_f3,R_f4,R_f5
R,0.09323333333333333,-0.5422333333333333,0.22976666666666667,-0.8028,0.0,1.0,0.74,0.2915,1.0,0.3267333333333333,-0.9278666666666666,0.08466666666666667,-0.1586,0.3386,0.0,0.0,0.1516,0.8432
R,0.09326666666666666,-0.5419333333333333,0.22956666666666667,-0.8030333333333334,0.0,1.0,0.7373,0.2946,1.0,0.3262,-0.9279333333333333,0.08503333333333334,-0.1591,0.3439,0.0,0.0,0.1684,0.8053
T,0.36719999999999997,-0.08423333333333333,-0.43039999999999995,0.8203,0.0,1.0,0.7001,0.0,0.7521,0.7279666666666667,-0.08203333333333333,0.05253333333333334,-0.6786333333333333,0.0,1.0,1.0,0.0,0.0
U,0.5003666666666666,-0.3038,-0.5388333333333334,0.6058333333333333,0.0,1.0,0.7293,0.0397,0.4906,0.7122,-0.28583333333333333,0.6051333333333333,0.212,0.6968,0.0,0.0,0.3,0.2261
U,0.5000333333333333,-0.30613333333333337,-0.5401333333333334,0.6037333333333333,0.0,1.0,0.7267,0.0366,0.4711,0.7109,-0.2888,0.6045333333333334,0.2137,0.6708,0.0,0.0,0.2412,0.2893
U,0.5009333333333333,-0.30583333333333335,-0.5381,0.6049333333333333,0.0,1.0,0.7225,0.0319,0.4741,0.7094,-0.2938,0.6036666666666667,0.2145,0.6481,0.0,0.0,0.2762,0.0541
U,0.5009333333333333,-0.3063,-0.5382,0.6046333333333334,0.0,1.0,0.7286,0.0335,0.4831,0.709,-0.2951333333333333,0.6031,0.2157,0.6714,0.0,0.0,0.2272,0.0061
U,0.5011666666666666,-0.3055,-0.5385333333333333,0.6046333333333334,0.0,1.0,0.7213,0.0298,0.4545,0.7091666666666666,-0.29516666666666663,0.6027,0.21616666666666665,0.6654,0.0,0.0,0.2748,0.0415
U,0.5006333333333334,-0.305,-0.537,0.6066,0.0,1.0,0.7263,0.0304,0.4696,0.7074333333333334,-0.298,0.6027666666666667,0.21776666666666666,0.6614,0.0,0.0,0.1474,0.0
U,0.5006,-0.30613333333333337,-0.5370666666666667,0.606,0.0,1.0,0.7244,0.0247,0.4831,0.7071333333333333,-0.2991,0.6027,0.21753333333333333,0.6444,0.0,0.0,0.1124,0.0
U,0.5013333333333333,-0.3066,-0.5372,0.6051,0.0,1.0,0.7236,0.0298,0.4951,0.7072333333333334,-0.29933333333333334,0.6023333333333333,0.21776666666666666,0.6297,0.0,0.0,0.0452,0.0
U,0.5011666666666666,-0.3065333333333333,-0.5376,0.6048666666666667,0.0,1.0,0.7244,0.0288,0.4636,0.7074666666666666,-0.2994,0.602,0.21796666666666664,0.628,0.0,0.0,0.0802,0.0
V,0.6008333333333333,-0.5276,-0.27623333333333333,0.5332666666666667,0.0,0.9529,0.2909,0.0,0.9128,0.7136333333333335,-0.2541,0.6254,0.18726666666666666,0.602,0.0,0.0,0.0872,0.0
V,0.6009333333333333,-0.5287333333333333,-0.27626666666666666,0.5319666666666667,0.0,0.9671,0.2905,0.0,0.9068,0.7132,-0.2531,0.6263333333333333,0.1870333333333333,0.614,0.0,0.0,0.1264,0.0
V,0.6014333333333334,-0.5282666666666667,-0.2759666666666667,0.5320333333333334,0.0,0.9679,0.2958,0.0,0.8963,0.7126666666666667,-0.2531,0.6268666666666667,0.18730000000000002,0.6317,0.0,0.0,0.202,0.0
V,0.6025333333333333,-0.5272666666666667,-0.2755666666666667,0.532,0.0,0.9496,0.2924,0.0,0.8963,0.7127333333333333,-0.2527,0.6269333333333333,0.18733333333333335,0.6243,0.0,0.0,0.1236,0.0
V,0.6058333333333333,-0.524,-0.27296666666666664,0.5328333333333334,0.0,0.9612,0.286,0.0,0.8993,0.7146666666666667,-0.2523,0.6256,0.1852,0.6247,0.0,0.0,0.1642,0.0
V,0.6070666666666666,-0.5224333333333333,-0.27276666666666666,0.5331,0.0,0.9762,0.289,0.0,0.8903,0.7148,-0.2523,0.6254,0.1852,0.6277,0.0,0.0,0.2272,0.0
V,0.6074,-0.5227,-0.27266666666666667,0.5324666666666666,0.0,0.9379,0.2951,0.0,0.8738,0.7150666666666666,-0.2524,0.6250333333333333,0.18523333333333333,0.6394,0.0,0.0,0.1894,0.0
V,0.6073333333333334,-0.5240333333333334,-0.27343333333333336,0.5308,0.0,0.9821,0.297,0.0,0.8888,0.7152,-0.2526333333333333,0.6247,0.18556666666666666,0.6233,0.0,0.0,0.2398,0.0
V,0.6071666666666666,-0.5231,-0.27403333333333335,0.5316666666666666,0.0,0.9554,0.2951,0.0,0.8948,0.7157,-0.25279999999999997,0.624,0.1857,0.6324,0.0,0.0,0.2244,0.0
X,0.08006666666666667,0.3351,-0.16803333333333334,0.9236,0.0,1.0,0.7806,0.0,0.7791,0.8023000000000001,-0.4652,0.04700000000000001,-0.3710333333333333,0.0,1.0,1.0,0.0,0.2008
X,0.0812,0.3324,-0.16793333333333335,0.9245,0.0,1.0,0.7475,0.0,0.8783,0.7980333333333333,-0.4624333333333333,0.05093333333333333,-0.38306666666666667,0.0,1.0,1.0,0.0,0.3298
X,0.0808,0.33296666666666663,-0.1676,0.9244,0.0,1.0,0.7491,0.0,0.8407,0.7979666666666668,-0.4628333333333334,0.051166666666666666,-0.38253333333333334,0.0,1.0,1.0,0.0,0.4487
Z,0.17190000000000003,0.0891,0.15016666666666667,-0.9695,0.0,0.0,0.4546,0.0,0.3854,0.7089333333333333,-0.4154333333333333,-0.46080000000000004,-0.3353,0.0772,0.0,0.0,0.1922,1.0
Z,0.1737,0.10049999999999999,0.1498,-0.9681000000000001,0.0,0.0,0.4311,0.0,0.4365,0.7007,-0.41923333333333335,-0.46069999999999994,-0.34789999999999993,0.0896,0.0,0.0,0.2034,1.0
Z,0.17379999999999998,0.10153333333333332,0.15013333333333334,-0.9679666666666668,0.0,0.0,0.4311,0.0,0.435,0.6994666666666666,-0.42006666666666664,-0.45999999999999996,-0.35023333333333334,0.1263,0.0,0.0,0.167,1.0
Z,0.17593333333333336,0.1073,0.15036666666666668,-0.9669333333333333,0.0,0.0,0.4451,0.0,0.453,0.6944333333333333,-0.42440000000000005,-0.4544333333333333,-0.3622,0.1476,0.0,0.0,0.244,1.0
Z,0.17616666666666667,0.10743333333333333,0.15066666666666667,-0.9668333333333333,0.0,0.0,0.4486,0.0,0.4215,0.6932333333333333,-0.42546666666666666,-0.4537,-0.3640666666666667,0.1617,0.0,0.0,0.2944,1.0
Z,0.1753,0.10706666666666666,0.14956666666666665,-0.9672,0.0,0.0,0.4417,0.0,0.3929,0.6916333333333333,-0.42850000000000005,-0.4501,-0.3680666666666667,0.1296,0.0,0.0,0.2202,1.0
